230	9	0.661331
610	3	0.357726
664	8	0.818453
285	8	0.244267
72	4	0.825056
674	9	0.690438
512	3	0.132874
740	10	0.209034
170	10	0.069379
852	2	0.148762
39	10	0.237147
541	2	0.009184
161	5	0.960536
256	0	0.966240
780	8	0.582928
674	4	0.800212
180	1	0.608240
680	5	0.656196
600	10	0.624853
254	6	0.201817
719	6	0.752726
428	0	0.192706
287	2	0.557637
176	9	0.313479
68	7	0.404780
744	1	0.404997
460	3	0.895717
234	9	0.774615
517	2	0.684270
60	2	0.150805
999	4	0.247023
275	4	0.948575
175	1	0.888801
246	4	0.748578
691	5	0.881656
959	4	0.914815
135	0	0.055823
968	8	0.167380
243	4	0.112597
832	3	0.027592
506	8	0.009977
164	2	0.008566
994	1	0.758243
782	2	0.999816
298	10	0.861462
88	10	0.126104
17	2	0.349460
682	1	0.627422
781	0	0.898379
310	1	0.704466
768	10	0.562858
251	10	0.014656
439	4	0.782715
467	8	0.432410
117	4	0.343352
735	3	0.744085
880	7	0.623918
964	7	0.392952
343	8	0.825299
309	5	0.403840
412	9	0.775330
853	3	0.241823
552	7	0.573475
852	10	0.613754
918	10	0.370517
145	4	0.165851
33	5	0.459298
194	4	0.088409
504	2	0.284659
635	3	0.559303
66	3	0.530570
486	6	0.689874
408	1	0.246752
703	2	0.264587
151	9	0.154201
903	1	0.046108
863	2	0.779563
697	6	0.200504
473	1	0.453877
631	8	0.102237
910	1	0.522438
746	4	0.738705
226	10	0.955024
804	3	0.722200
922	3	0.360882
655	5	0.249013
45	1	0.025153
230	10	0.966746
718	3	0.560225
798	5	0.699656
237	4	0.028305
828	0	0.584267
567	4	0.551443
629	4	0.920136
153	0	0.356090
947	8	0.774412
354	8	0.180948
582	9	0.604085
622	2	0.709558
94	8	0.644518
299	3	0.519166
56	8	0.406053
674	4	0.457325
764	6	0.263653
872	3	0.697893
511	10	0.049116
791	9	0.043681
836	4	0.309348
587	3	0.033323
638	1	0.659306
505	2	0.693864
937	4	0.897613
234	7	0.478823
945	0	0.835217
564	3	0.861804
988	2	0.382062
241	2	0.342846
934	10	0.913383
753	5	0.304832
912	1	0.399989
800	10	0.843007
312	4	0.942042
867	8	0.436016
550	9	0.536225
876	0	0.209472
664	7	0.133556
236	6	0.624800
642	2	0.753815
480	0	0.511519
422	0	0.050202
408	8	0.968474
506	4	0.954372
838	7	0.014130
466	4	0.351583
387	10	0.061000
145	7	0.974646
92	7	0.740356
805	9	0.774553
810	2	0.189758
741	0	0.340972
456	6	0.968016
354	5	0.270044
306	3	0.127630
931	9	0.612330
852	1	0.775033
596	10	0.864085
71	9	0.757804
491	0	0.031179
232	5	0.497111
36	4	0.194642
87	7	0.833422
430	5	0.421450
421	7	0.958748
826	8	0.199128
991	5	0.104644
643	0	0.494757
889	6	0.940186
22	8	0.150567
107	2	0.793042
235	3	0.158758
379	6	0.576319
644	2	0.091959
33	7	0.754102
734	4	0.853065
654	1	0.850071
856	0	0.317120
301	6	0.026964
343	3	0.561982
253	1	0.384999
6	4	0.831185
737	7	0.457601
328	7	0.213530
831	1	0.961763
157	7	0.487410
453	5	0.721222
562	7	0.449448
103	2	0.327026
984	0	0.930941
389	9	0.551308
225	9	0.826373
906	5	0.322106
750	7	0.242801
712	9	0.280280
180	8	0.450787
178	1	0.467580
732	0	0.989839
705	6	0.707148
440	4	0.635709
660	9	0.314847
945	6	0.337988
469	3	0.501839
829	0	0.718601
454	1	0.756762
234	4	0.151309
364	2	0.532857
806	6	0.799314
108	1	0.422371
243	7	0.079737
607	7	0.149558
87	3	0.267740
298	4	0.953179
449	9	0.103190
585	6	0.401448
199	3	0.363507
602	6	0.100627
985	6	0.722509
365	1	0.172991
800	6	0.077540
231	1	0.399410
933	3	0.000127
838	1	0.468535
741	6	0.145578
158	2	0.561493
650	10	0.113251
543	3	0.356590
187	5	0.353014
663	2	0.742134
82	0	0.090216
624	6	0.860940
184	0	0.720595
551	4	0.001155
364	4	0.819020
887	9	0.561713
583	8	0.305910
104	8	0.521731
586	4	0.600867
759	10	0.431504
727	3	0.141795
975	6	0.738208
934	1	0.348512
697	4	0.993816
502	6	0.114973
64	10	0.590084
951	4	0.664877
121	2	0.420134
74	4	0.075156
236	3	0.824799
606	4	0.158288
285	0	0.216432
246	4	0.682435
328	5	0.720889
423	4	0.214276
337	6	0.729936
754	5	0.962235
122	1	0.776202
18	1	0.289029
454	1	0.268849
279	3	0.199013
68	3	0.889432
207	1	0.071279
214	7	0.743337
513	2	0.731322
867	2	0.004828
479	9	0.465253
251	6	0.684906
148	7	0.292685
643	6	0.029477
864	0	0.241110
405	9	0.113336
392	8	0.054284
485	10	0.169989
181	7	0.425090
651	10	0.449049
970	0	0.500544
915	5	0.653507
763	9	0.962565
926	2	0.791162
